pleasue enter the dates in mm/dd format,fall start,fall end,spring start,spring end,,
Lake Erie College,25/08/2014,05/12/2014,12/01/2015,24/04/2015,,
Lake Michigan Clg-Napier Ave,,,,,,
Lake Region State College,,,,,,
Lamar Community College,24/08/2015,08/12/2015,18/01/2016,03/05/2016,,
Lamar State College-Orange,24/08/2015,08/12/2015,18/01/2016,03/05/2016,,
Lamar State College-Port Arthur,24/08/2015,09/12/2015,18/01/2016,03/05/2016,,
Lambuth University,24/08/2015,09/12/2015,19/01/2016,27/04/2016,,
Lancaster Bible College,25/08/2014,11/12/2014,12/01/2015,07/05/2015,,
Landmark College,24/08/2015,04/12/2015,26/01/2016,06/05/2016,,
Lassen Community College,,,,,,
Lawrence Technological University,,,,,,
Lawrence University,,,,,,
Lb Wallace Cmty Clg-Macarthur,,,,,,
Le Moyne-Owen College,,,,,,
Lees-Mcrae College,,,,,,
Lenoir Community College,,,,,,
Lewis College Of Business,,,,,,
Lexington College,,,,,,
Lexington Theological Seminary,,,,,,
Life University,,,,,,
Linfield College-Portland Campus,,,,,,
Little Priest Tribal College,,,,,,
Livingstone College,,,,,,
Lon Morris College,,,,,,
Long Island Business Institute,,,,,,
Long Island University-Brentwood,,,,,,
Los Angeles County College Of Nursing And Allied Health,,,,,,
Louisburg College,,,,,,
Louisiana College,,,,,,
Louisiana State University At Alexandria,,,,,,
Louisiana State University-Shreveport,,,,,,
Louisiana Tech College-Slidell,,,,,,
Louisiana Technical College-Acadian Campus,,,,,,
Louisiana Technical College-Alexandria Campus,,,,,,
Louisiana Technical College-Ascension Campus,,,,,,
Louisiana Technical College-Avoyelles Campus,,,,,,
Louisiana Technical College-Bastrop Campus,,,,,,
Louisiana Technical College-Baton Rouge Campus,,,,,,
Louisiana Technical College-Charles B Coreil Campus,,,,,,
Louisiana Technical College-Delta-Ouachita Campus,,,,,,
Louisiana Technical College-Evangeline Campus,,,,,,
Louisiana Technical College-Florida Parishes,,,,,,
Louisiana Technical College-Folkes Campus,,,,,,
Louisiana Technical College-Gulf Area Campus,,,,,,
Louisiana Technical College-Hammond Area Branch Campus,,,,,,
Louisiana Technical College-Huey P Long Campus,,,,,,
Louisiana Technical College-Jefferson Campus,,,,,,
Louisiana Technical College-Jumonville Memorial,,,,,,
Louisiana Technical College-Lafayette Campus,,,,,,
Louisiana Technical College-Lafourche Campus,,,,,,
Louisiana Technical College-Lamar Salter Campus,,,,,,
Louisiana Technical College-Mansfield Campus,,,,,,
Louisiana Technical College-Morgan Smith Campus,,,,,,
Louisiana Technical College-Natchitoches Campus,,,,,,
Louisiana Technical College-North Central Campus,,,,,,
Louisiana Technical College-Northeast La Campus,,,,,,
Louisiana Technical College-Northwest Louisiana Campus,,,,,,
Louisiana Technical College-Oakdale Campus,,,,,,
Louisiana Technical College-River Parishes Campus,,,,,,
Louisiana Technical College-Ruston Campus,,,,,,
Louisiana Technical College-Sabine Valley Campus,,,,,,
Louisiana Technical College-Shelby Jackson Campus,,,,,,
Louisiana Technical College-Shreveport-Bossier Campus,,,,,,
Louisiana Technical College-Sullivan Campus,,,,,,
Louisiana Technical College-T H Harris Campus,,,,,,
Louisiana Technical College-Tallulah Campus,,,,,,
Louisiana Technical College-Teche Area Campus,,,,,,
Louisiana Technical College-West Jefferson Campus,,,,,,
Louisiana Technical College-Westside Campus,,,,,,
Lower Columbia College,,,,,,
Lurleen B Wallace Community College,,,,,,
Luther Rice University,,,,,,
Luther Seminary,,,,,,
Lutheran School Of Theology At Chicago,,,,,,
Lyon College,,,,,,
La Roche College,,,,,,
La Salle University,,,,,,
La Sierra University,,,,,,
Lab Institute Of Merchandising,,,,,,
Labette Community College,,,,,,
Lafayette College,,,,,,
Lake City Community College,,,,,,
Lake Erie College Osteopathic Med,,,,,,
Lake Forest College,,,,,,
Lake Superior College,,,,,,
Lake Superior State University,,,,,,
Lake Tahoe Community College,,,,,,
Lake-Sumter Community College-Leesburg,,,,,,
Lakeland College,,,,,,
Lakeland Community College,,,,,,
Lamar Institute Of Technology,,,,,,
Lamar University,,,,,,
Lander University,,,,,,
Lane College,,,,,,
Lane Community College,,,,,,
Laney College,,,,,,
Langston University,"July 27-August 7,2015","Dec 14 Ð Jan 8,2015","Dec14 Ð Jan 8,2016","May 30,2016",,
Lanier Tech College-Oakwood,,,,,,
Lansing Community College,,,,,,
Laramie County Community College-Cheyen,,,,,,
Laredo Community College,"August 18,2014","December 20-January 4,2015","January 5,2015","May 18,2015",,
Las Positas College,"June 15-Aug 6,2015","Aug 9,2015",17/08/2015,02/01/2016,,
Lasell College,,,,,,
Lawson State Community College-Birmingh,,,,,,
Le Moyne College,,,,,,
Letourneau University,"August 1,2015","December 14,2015",N/A,N/A,,
Lebanon Valley College,,,,,,
Lee College,,,,,,
Lee University,,,,,,
Leeward Community College,,,,,,
Lehigh Carbon Community College,,,,,,
Lehigh University,,,,,,
Lenoir-Rhyne College,12/12/2014,16/12/2014,N/A,N/A,,
Lesley University,,,,,,
Lewis & Clark College,"August 31,2015",15/10/2015,"January 18,2016",07/05/2016,,
Lewis & Clark Community College,,,,,,
Lewis University,"August 31,2015","December 19, 20,2015","January 11,2016","May 14, 15,2016",,
Lewis-Clark State College,"Aug 8,2015","Dec 21,2015","Jan 8,2015","May 17,2015",,
Liberty University,"August 10,2015","December 24,2015","January 11,2015","May 18-20,2015",,
Limestone College,N/A,N/A,N/A,N/A,,
Lincoln Land Community College,N/A,N/A,N/A,N/A,,
Lincoln Memorial University,"August 15,2015","December 13,2015","January 9,2015","May 10,2015",,
Lincoln Trail College,,,,,,
Lincoln University,09/06/2015,10/06/2015,N/A,N/A,,
Lincoln University,09/06/2015,10/06/2015,N/A,N/A,,
Lindenwood University,N/A,N/A,N/A,N/A,,
Lindsey Wilson College,N/A,N/A,N/A,N/A,,
Linfield College,"June 23-25,2015","Dec. 19,2015","Aug. 3,2015","Dec. 23,2015",,
Linn Benton Community College,,,,,,
Linn State Technical College,,,,,,
Lipscomb University,"Aug. 16-17,2015","Dec. 18-Jan. 10,2015","Jan. 10,2015","May 7,2015",,
Loma Linda University,,,,,,
Long Beach City College,,,,,,
Long Island University,,,,,,
Long Island University - Cw Post,08/09/2015,23/12/2015,20/01/2015,08/05/2015,,
Long Island University Admin Office,09/09/2015,24/12/2015,21/01/2015,09/05/2015,,
Longwood University,01/08/2015,01/12/2015,01/01/2015,01/05/2015,,
Lorain County Community College,24/08/2015,14/12/2015,18/01/2016,14/05/2016,,
Los Angeles City College,31/08/2015,20/12/2015,08/02/2016,06/06/2016,,
Los Angeles Harbor College,24/08/2015,01/12/2015,01/01/2015,14/05/2016,,
Los Angeles Mission College,31/08/2015,23/12/2015,20/01/2015,09/05/2015,,
Los Angeles Southwest College,31/08/2015,20/12/2015,09/02/2016,05/06/2016,,
Los Angeles Trade Tech College,31/08/2015,19/12/2015,09/02/2016,08/06/2016,,
Los Angeles Valley College,31/08/2015,20/12/2015,10/02/2016,09/06/2016,,
Los Medanos College,12/02/2015,22/12/2015,01/10/2015,20/05/2015,,
Louisiana State University,14/08/2015,19/12/2015,07/01/2015,04/06/2015,,
Louisiana State University At Eunice,10/08/2015,18/12/2015,12/01/2015,01/05/2015,,
Louisiana Tech University,01/01/2015,26/09/2015,01/12/2015,25/05/2015,,
Lourdes College,25/08/2015,13/12/2015,12/01/2016,09/05/2015,,
Loyola College In Maryland,27/08/2015,23/12/2015,01/01/2016,21/05/2016,,
Loyola Marymount University,31/08/2015,23/12/2015,11/01/2016,11/05/2016,,
Loyola University - Lakeshore,23/08/2015,05/12/2015,17/01/2016,29/04/2016,,
Loyola University-New Orleans,10/08/2015,12/12/2015,14/01/2016,23/05/2016,,
Loyola University-Watertower,20/07/2015,02/11/2015,12/01/2016,07/05/2016,,
Lubbock Christian University,21/08/2015,15/12/2015,09/01/2016,11/05/2016,,
Luna Community College,15/04/2015,21/12/2015,17/11/2015,08/05/2016,,
Luther College,24/08/2015,17/12/2015,04/02/2016,19/05/2016,,
Luzerne County Community College,01/01/2015,06/08/2015,05/01/2016,06/05/2016,,
Lycoming College,17/08/2015,04/12/2015,1/102016,22/04/2016,,
Lynchburg College,20/08/2015,04/12/2015,18/01/2016,29/04/2016,,
Lyndon State College,24/08/2015,11/12/2015,19/01/2016,06/05/2016,,
Lynn University,31/08/2015,19/12/2015,04/01/2016,13/05/2016,,
Maccormac College-Chicago,25/08/2015,16/12/2015,05/01/2016,04/05/2016,,
Macmurray College,22/08/2015,04/12/2015,11/01/2016,06/04/2016,,
Magnolia Bible College,23/08/2015,05/12/2015,12/01/2016,07/04/2016,,
Maine College Of Art,17/08/2015,22/12/2015,09/01/2016,29/04/2016,,
Maine Maritime Academy,18/08/2015,23/12/2015,10/01/2016,30/04/2016,,
Manchester Community College,27/08/2015,09/12/2015,22/01/2016,11/05/2016,,
Manhattan Christian College,28/08/2015,10/12/2015,23/01/2016,12/05/2016,,
Manhattan School Of Music,09/09/2015,11/12/2015,11/01/2016,29/04/2016,,
Manhattanville College,23/08/2015,29/12/2015,17/01/2016,22/05/2016,,
Manor College,24/08/2015,30/12/2015,18/01/2016,23/05/2016,,
Maranatha Baptist Bible College Inc,31/08/2015,16/12/2015,12/01/2016,06/05/2016,,
Maria College Of Albany,24/08/2015,13/12/2015,12/01/2016,08/05/2016,,
Marian Court College,02/09/2015,11/12/2015,20/01/2016,06/05/2016,,
Marion Technical College,03/09/2015,12/12/2015,21/01/2016,07/05/2016,,
Marlboro College,18/09/2015,11/12/2015,16/05/2016,08/08/2016,,
Martin Community College,12/08/2015,15/12/2015,04/01/2016,05/05/2016,,
Maryland Institute College Of Art,20/08/2015,19/12/2015,05/01/2016,06/05/2016,,
Marymount College,03/09/2015,29/12/2015,26/01/2016,15/05/2016,,
Massachusetts College Of Pharmacy & Health Science,20/08/2015,03/09/2015,20/01/2016,12/05/2016,,
Massachusetts School Of Professional Psychology,31/08/2015,21/12/2015,11/01/2016,03/05/2016,,
Mayland Community College,17/08/2015,02/11/2015,20/01/2016,12/05/2016,,
Mayville State University,26/08/2015,19/12/2015,13/01/2016,15/05/2016,,
Mccormick Theological Seminary,02/08/2015,05/12/2015,02/02/2016,5/12016,,
Mcdowell Technical Community College,26/08/2015,19/12/2015,07/01/2016,06/05/2016,,
Mcintosh College,08/09/2015,14/12/2015,19/01/2016,02/05/2016,,
Mcpherson College,20/08/2015,10/12/2015,26/01/2016,12/05/2016,,
Med Central College Of Nursing,21/08/2015,11/12/2015,08/01/2016,12/05/2016,,
Medaille College,02/09/2015,08/12/2015,20/01/2016,04/05/2016,,
Meharry Medical College,03/09/2015,09/12/2015,08/01/2016,10/05/2015,,
Menlo College,19/08/2015,11/12/2015,08/01/2016,07/05/2016,,
Mercy College Of Health Sciences,9/92015,23/12/2015,20/01/2016,10/05/2015,,
Mercy College Of Northwest Ohio,17/08/2015,06/12/2015,11/01/2016,01/05/2016,,
Meridian Community College,17/08/2015,11/12/2015,12/01/2016,02/05/2016,,
Mesabi Range Community And Technical College,18/08/2015,12/12/2015,13/01/2016,03/05/2016,,
Mesalands Community College,17/08/2015,11/12/2015,14/01/2016,04/05/2016,,
Metropolitan Community College Area,08/09/2015,23/11/2015,10/03/2016,25/05/2016,,
Metropolitan Community College-Blue River,22/08/2015,07/12/2015,16/01/2016,02/05/2016,,
Metropolitan Community College-Longview,24/08/2015,08/12/2015,17/01/2016,03/05/2016,,
Metropolitan Community College-Maple Woods,24/08/2015,05/12/2015,18/01/2016,04/05/2016,,
Metropolitan Community College-Penn Valley,17/08/2015,07/12/2015,11/01/2016,30/04/2016,,
Miami Intl University Art/Design,18/08/2015,05/12/2015,12/01/2016,01/05/2016,,
Miami University-Hamilton,24/08/2015,05/12/2015,25/01/2016,07/05/2016,,
Miami University-Middletown,17/08/2015,05/12/2015,26/01/2016,08/05/2016,,
Miami-Dade College-Iac,25/08/2015,12/12/2015,06/01/2016,24/04/2016,,
Michigan Theological Seminary,17/08/2015,23/12/2015,07/01/2016,25/04/2016,,
Mid Michigan Community College,29/08/2015,18/12/2015,06/01/2016,10/07/2016,,
Mid-America Christian University,17/08/2015,23/12/2015,07/01/2016,11/07/2016,,
Mid-Plains Community College,20/08/2015,20/11/2015,08/01/2016,12/07/2016,,
Middle Georgia College,17/08/2015,07/10/2015,11/01/2016,02/03/2016,,
Middle Georgia Technical College,01/04/2015,01/12/2015,11/01/2016,01/05/2016,,
Midland Lutheran College,01/04/2015,20/11/2015,12/01/2016,02/05/2016,,
Midstate College,17/08/2015,12/12/2015,13/01/2016,03/05/2016,,
Midwestern Univ-Downers Grove,10/08/2015,20/11/2015,22/02/2016,01/05/2016,,
Miles Community College,17/08/2015,12/12/2015,23/02/2016,02/05/2016,,
Milligan College,20/08/2015,05/12/2015,05/01/2016,01/05/2016,,
Mineral Area College,17/08/2015,12/12/2015,11/01/2016,14/05/2016,,
Minnesota West Cmty/Tech Clg,25/08/2015,15/12/2015,12/01/2016,09/03/2016,,
Minot State Univ-Bottineau,24/08/2015,18/12/2015,13/01/2016,10/03/2016,,
Mississippi Gulf Coast Community College,21/08/2015,19/12/2015,07/01/2015,07/05/2015,,
Missouri College,25/08/2015,01/12/2014,12/01/2016,04/05/2015,,
Missouri State University-West Plains,20/08/2015,06/12/2015,14/01/2016,09/05/2016,,
Mitchell Community College,17/08/2015,11/12/2015,01/01/2016,05/05/2016,,
Moberly Area Community College,06/04/2015,03/12/2015,26/10/2015,05/05/2016,,
Mohawk Valley Community College-Utica Branch,826/2015,14/12/2015,10/01/2016,15/05/2016,,
Monroe College-New Rochelle,11/09/2015,11/12/2015,29/04/2016,28/07/2016,,
Montana State University-Billings,24/08/2015,04/12/2015,13/01/2016,29/04/2016,,
Montana State University-Northern,21/08/2015,11/12/2015,12/01/2016,06/05/2016,,
Montana State Univiversity-Billings-College Of Technology,24/08/2015,14/12/2015,13/01/2016,07/05/2016,,
Montana Tech Of The University Of Montana,24/08/2015,15/12/2015,11/01/2016,10/05/2016,,
Montana Tech-College Of Technology,21/08/2015,14/12/2015,12/01/2016,11/05/2016,,
Montcalm Community College,22/08/2015,12/12/2015,12/01/2016,01/05/2016,,
Montgomery Community College,02/09/2015,14/12/2015,20/01/2016,01/05/2016,,
Montreat College,18/08/2015,04/12/2015,13/01/2016,06/05/2016,,
Moraine Park Technical College,19/08/2015,05/12/2015,14/01/2016,07/05/2016,,
Moravian Theological Seminary,31/08/2015,11/12/2015,01/02/2016,06/05/2016,,
Morris College,20/08/2015,10/12/2015,07/01/2016,05/05/2016,,
Mount Holyoke College,03/09/2015,09/12/2015,20/01/2016,27/04/2016,,
Mount Marty College,31/08/2015,19/12/2015,18/01/2016,14/05/2016,,
Mountain Empire Community College,27/08/2015,10/12/2015,14/01/2016,06/05/2016,,
Mountain State College,24/08/2015,11/12/2015,18/01/2016,06/05/2016,,
Mt Hood Community College,04/05/2015,12/09/2015,04/02/2016,28/03/2016,,
Murray State College,05/05/2015,13/09/2015,05/02/2016,29/03/2016,,
Musicians Institute,02/10/2015,15/12/2015,02/04/2016,15/06/2016,,
Macalester College,02/09/2015,10/12/2015,21/01/2016,02/05/2016,,
Macon State College,17/08/2015,07/10/2015,11/01/2016,02/03/2016,,
Madison Area Technical College,18/08/2015,08/10/2015,12/01/2016,03/03/2016,,
Madisonville Community College-Madisonv,17/08/2015,13/12/2015,11/01/2016,06/05/2016,,
Madonna University,02/09/2015,13/12/2015,09/05/2016,30/07/2016,,
Malcolm X College,06/04/2015,17/08/2015,02/11/2015,11/01/2016,,
Malone College,27/08/2015,07/12/2015,10/01/2016,26/04/2016,,
Manatee Community College,18/08/2015,05/12/2015,08/01/2016,01/05/2016,,
Manchester College,20/08/2015,08/12/2015,29/01/2016,11/05/2016,,
Manchester Community College,27/08/2015,09/12/2015,22/01/2016,11/05/2016,,
Manhattan College,31/08/2015,11/12/2015,25/01/2016,09/05/2016,,
Mansfield University,25/08/2015,05/12/2015,20/01/2016,04/05/2016,,
Marian College,30/08/2015,01/12/2015,24/01/2016,11/05/2016,,
Marian College,31/08/2015,02/12/2015,25/01/2016,12/05/2016,,
Marietta College,24/08/2015,04/12/2015,11/01/2016,22/04/2016,,
Marquette University,31/08/2015,12/12/2015,19/01/2016,07/05/2016,,
Mars Hill College,10/08/2015,18/12/2016,04/01/2016,07/05/2016,,
Marshall Community-Technical College,11/08/2015,12/8/0201,05/01/2016,08/05/2016,,
Marshall University,24/08/2015,04/12/2015,11/01/2016,29/04/2016,,
Marshalltown Community College,25/08/2015,12/8/0201,12/01/2016,30/04/2016,,
Martin Methodist College,26/08/2015,12/8/0201,13/01/2016,25/04/2016,,
Martin University,17/08/2015,05/12/2015,1//11/2016,07/05/2016,,
Marygrove College,02/09/2015,16/12/2015,1//11/2016,07/05/2016,,
Marylhurst University,28/09/2015,13/12/2015,28/03/2016,12/06/2016,,
Marymount Manhattan College,29/09/2015,14/12/2015,29/03/2016,13/06/2016,,
Maryville College,30/09/2015,15/12/2015,30/03/2016,14/06/2016,,
Maryville University Of Saint Louis,20/08/2015,10/12/2015,10/01/2016,25/05/2016,,
Marywood University,24/08/2015,12/12/2015,13/01/2016,10/05/2016,,
Mass College Of Liberal Arts,02/08/2015,16/12/2015,20/01/2016,02/05/2016,,
Massachusetts Bay Community College,08/09/2015,18/12/2015,19/01/2016,09/05/2016,,
Massachusetts Institute Of Technology,09/08/2015,10/12/2015,02/02/2016,12/05/2016,,
Massasoit Community College-Brockton,03/09/2015,13/12/2015,19/01/2016,09/05/2016,,
Master'S College And Seminary,04/09/2015,14/12/2015,20/01/2016,10/05/2016,,
Maui Community College,24/08/2015,10/12/2015,11/01/2016,04/05/2016,,
Maysville Community/Tech College-Maysv,17/08/2015,25/12/2015,11/01/2016,30/04/2016,,
Mcmurry University,18/08/2015,26/12/2015,12/01/2016,01/05/2016,,
Mcneese State University,19/08/2015,27/12/2015,13/01/2016,02/05/2016,,
Mcdaniel College,20/08/2015,28/12/2015,14/01/2016,03/05/2016,,
Mckendree College,31/08/2015,11/12/2015,19/01/2016,06/05/2016,,
Mclennan Community College,24/08/2015,12/12/2015,20/01/2016,07/05/2016,,
Medgar Evers College,20/08/2015,13/12/2015,21/01/2016,08/05/2016,,
Medical College Of Georgia,11/08/2015,04/12/2015,11/01/2016,02/05/2016,,
Mendocino College,24/08/2015,18/12/2015,25/01/2016,27/05/2016,,
Merced College,17/08/2015,18/12/2015,12/01/2016,22/05/2016,,
Mercer University,18/08/2015,19/12/2015,13/01/2016,23/05/2016,,
Mercy College-Dobbs Ferry,07/09/2015,22/12/2015,20/01/2016,10/05/2016,,
Mercyhurst College,26/08/2015,04/12/2015,03/02/2016,23/05/2016,,
Meredith College,19/08/2015,02/12/2015,11/01/2016,27/04/2016,,
Merrimack College,31/08/2015,11/12/2015,21/01/2016,06/05/2016,,
Merritt College,24/08/2015,18/12/2015,20/01/2016,22/05/2016,,
Mesa Community College,22/08/2015,18/12/2015,16/01/2016,08/05/2016,,
Mesa State College,23/08/2015,19/12/2015,17/01/2016,09/05/2016,,
Messiah College,01/08/2015,11/12/2015,06/01/2016,03/05/2016,,
Methodist University,24/08/2015,07/12/2015,15/01/2016,02/05/2016,,
Metropolitan St College Of Denver,17/08/2015,05/12/2015,20/01/2016,09/05/2016,,
Metropolitan State University,22/08/2015,13/12/2015,10/01/2016,03/05/2016,,
Miami University-Oxford,24/08/2015,05/12/2015,25/01/2016,07/05/2016,,
Miami-Dade Clg-Kendall,25/08/2015,12/12/2015,06/01/2016,24/04/2016,,
Miami-Dade College - North,26/08/2015,13/12/2015,07/01/2016,25/04/2016,,
Miami-Dade College-Wolfson,27/08/2015,14/12/2015,08/01/2016,26/04/2016,,
Michigan State University,17/08/2015,04/12/2015,11/01/2016,25/04/2016,,
Michigan Technological University,08/09/2015,11/12/2015,19/01/2016,22/04/2016,,
Mid Continent University,09/09/2015,12/12/2015,13/01/2016,03/05/2016,,
Mid South Community College,24/08/2015,07/12/2015,19/01/2016,02/05/2016,,
Midamerica Nazarene University,25/08/2015,11/12/2015,11/01/2016,03/05/2016,,
Middle Tennessee State University,24/08/2015,02/12/2015,19/01/2016,27/04/2016,,
Middlebury College,16/09/2015,11/12/2015,15/02/2016,16/05/2016,,
Middlesex Community College,08/09/2015,05/12/2015,09/02/2016,11/05/2016,,
Middlesex Community College,09/09/2015,06/12/2015,10/02/2016,12/05/2016,,
Midland College,24/08/2015,11/12/2015,09/01/2016,17/05/2016,,
Midlands Technical College,24/08/2015,07/12/2015,11/01/2016,25/04/2016,,
Midwestern State University,21/08/2015,04/12/2015,16/01/2016,06/05/2016,,
Miles College,17/08/2015,05/12/2015,17/01/2016,07/05/2016,,
Millersville University,24/08/2015,13/12/2015,20/01/2016,04/05/2016,,
Millikin University,24/08/2015,18/12/2015,25/01/2016,13/05/2016,,
Mills College,26/08/2015,07/12/2015,20/01/2016,04/05/2016,,
Millsaps College,24/08/2015,07/12/2015,11/01/2016,22/04/2016,,
Milwaukee Area Tech College,25/08/2015,08/12/2015,12/01/2016,23/04/2016,,
Milwaukee School Of Engineering,08/09/2015,21/11/2015,07/03/2016,28/05/2016,,
Minneapolis Community/Technical College,24/08/2015,18/12/2015,08/03/2016,29/05/2016,,
Minnesota School Of Bus-Richfield,25/08/2015,19/12/2015,09/03/2016,30/05/2016,,
Minnesota St College-So East Tech,24/08/2015,20/12/2015,10/03/2016,31/05/2016,,
Minnesota St Community/Tech-Fergus,25/08/2015,19/12/2015,12/01/2016,13/05/2016,,
Minnesota State University Moorhead,24/08/2015,09/12/2015,11/01/2016,04/05/2016,,
Minnesota State University-Mankato,25/08/2015,13/12/2015,12/01/2016,09/05/2016,,
Minnesota West Community/Technical College,25/08/2015,19/12/2015,12/01/2016,08/05/2016,,
Minot State University,26/08/2015,20/12/2015,13/01/2016,09/05/2016,,
Miracosta College-Oceanside,24/08/2015,19/12/2015,25/01/2016,5/23/ 2016,,
Misericordia University,30/08/2015,14/12/2015,18/01/2016,04/05/2016,,
Mission College,31/08/2015,15/12/2015,19/01/2016,05/05/2016,,
Mississippi College,24/08/2015,12/10/2015,11/01/2016,02/05/2016,,
Mississippi State University,17/08/2015,01/12/2015,11/01/2016,27/04/2016,,
Mississippi University For Women,21/08/2015,06/12/2015,14/01/2016,09/05/2016,,
Mississippi Valley State University,24/08/2015,04/12/2015,11/01/2016,29/04/2016,,
Missouri Baptist University,17/08/2015,01/12/2015,11/01/2016,29/04/2016,,
Missouri Southern State University,18/08/2015,05/12/2015,12/01/2016,01/05/2016,,
Missouri State University,17/08/2015,03/12/2015,11/01/2016,05/05/2016,,
Missouri Valley College,24/08/2015,07/12/2015,12/01/2016,02/05/2016,,
Missouri Western State College,31/08/2015,01/12/2015,19/01/2016,29/05/2016,,
Mitchell College,28/08/2015,10/12/2015,21/01/2016,03/05/2016,,
Modesto Junior College-East,24/08/2015,12/12/2015,11/01/2016,30/04/2016,,
Mohave Community College-Kingman,25/08/2015,15/12/2015,20/01/2016,11/05/2016,,
Monroe College,11/08/2015,11/12/2015,29/04/2016,29/07/2016,,
Monroe Community College-Rochester,08/09/2015,18/12/2015,25/01/2016,20/05/2016,,
Monroe County Community College,27/08/2015,14/12/2015,11/05/2016,20/06/2016,,
Montana St University College Of Tech,24/08/2015,04/12/2015,13/01/2016,29/04/2016,,
Montana State University,24/08/2015,04/12/2015,13/01/2016,29/04/2016,,
Montclair State University,02/09/2015,13/12/2015,19/01/2016,03/05/2016,,
Monterey Peninsula College,24/08/2015,11/12/2015,15/06/2015,07/08/2016,,
Montgomery College,31/08/2015,24/12/2015,25/01/2016,20/05/2016,,
Montgomery College - Rockville,01/09/2015,25/12/2015,26/01/2016,21/05/2016,,
Moorpark College,17/08/2015,20/11/2015,10/01/2016,24/04/2016,,
Moraine Park Technical College,18/08/2015,21/11/2015,11/01/2016,25/04/2016,,
Morehead State University,12/08/2015,11/12/2015,04/01/2016,08/04/2016,,
Morehouse College,20/08/2015,03/12/2015,14/01/2016,29/04/2016,,
Morgan Community College,19/08/2015,18/12/2015,06/01/2016,13/05/2016,,
Morgan State University,01/08/2015,05/12/2015,26/01/2016,13/05/2016,,
Morningside College,26/08/2015,11/12/2015,13/01/2016,03/05/2016,,
Morton College,27/08/2015,12/12/2015,14/01/2016,04/05/2016,,
Motlow State Community College,28/08/2015,13/12/2015,15/01/2016,05/05/2016,,
Mott Community College,08/09/2015,16/12/2015,06/05/2016,20/08/2016,,
Mount Ida College,08/09/2015,14/12/2015,19/01/2016,02/05/2016,,
Mount Mary College,09/09/2015,15/12/2015,20/01/2016,03/05/2016,,
Mount Mercy College,26/08/2015,10/12/2015,28/01/2016,08/05/2016,,
Mount Olive College,08/08/2015,12/12/2015,06/01/2016,03/05/2016,,
Mount Saint Mary College,25/08/2015,08/12/2015,20/01/2016,07/08/2016,,
Mount St Marys College,18/08/2015,18/12/2015,19/01/2016,18/05/2016,,
Mount St Marys University,19/08/2015,19/12/2015,20/01/2016,19/05/2016,,
Mount Union College,31/08/2015,11/12/2015,11/01/2016,25/04/2016,,
Mount Vernon Nazarene University,06/09/2015,05/12/2015,02/01/2016,02/05/2016,,
Mount Wachusett Community College,02/09/2015,12/12/2015,20/01/2016,10/05/2016,,
Mountain View College,31/08/2015,17/12/2015,20/01/2016,12/05/2016,,
Mt San Antonio College,22/08/2015,14/12/2015,19/01/2016,25/05/2016,,
Mt San Jacinto College,15/08/2015,12/12/2015,19/01/2016,20/05/2016,,
Muhlenberg College,16/08/2015,13/12/2015,20/01/2016,21/05/2016,,
Murray State University,17/08/2015,14/12/2015,21/01/2016,22/05/2016,,
Muskegon Community College,24/08/2015,05/12/2015,22/01/2016,23/05/2016,,
Muskingum College,15/09/2015,06/12/2015,12/01/2016,28/03/2016,,
N Virginia Community College - Annandale,19/08/2015,14/12/2015,11/01/2016,17/05/2016,,
Nash Community College,18/08/2015,16/12/2015,08/01/2016,15/05/2016,,
National American University-Albuquerque,08/09/2015,01/12/2015,07/03/2015,26/05/2016,,
National American University-Bloomington,09/09/2015,02/12/2015,08/03/2015,27/05/2016,,
National American University-Colorado Springs,10/09/2015,03/12/2015,09/03/2015,28/05/2016,,
National American University-Denver,31/08/2015,04/12/2015,10/03/2015,29/05/2016,,
National American University-Ellsworth Afb Extension,22/08/2015,14/12/2015,13/01/2015,15/05/2016,,
National American University-Independence,19/08/2015,13/12/2015,24/01/2016,04/05/2016,,
National American University-Overland Park,14/08/2015,14/12/2015,24/01/2016,15/05/2016,,
National American University-Rapid City,22/08/2015,13/12/2015,13/01/2015,16/05/2016,,
National American University-Rio Rancho,19/08/2015,14/12/2015,24/01/2016,04/05/2016,,
National American University-Roseville,22/08/2015,12/12/2015,13/01/2015,05/05/2016,,
National American University-Sioux Falls,19/08/2015,14/12/2015,24/01/2016,04/05/2016,,
National College Of Business And Technology-Nashville,22/08/2015,12/12/2015,13/01/2015,15/05/2016,,
Nazarene Bible College,31/08/2015,23/11/2015,07/03/2016,27/05/2016,,
Nebraska Christian College,12/06/2015,05/10/2015,19/01/2016,06/03/2016,,
Nebraska College Of Technical Agriculture,31/08/2015,23/11/2015,12/01/2016,07/05/2016,,
Nebraska Indian Community College,14/08/2015,14/12/2015,13/01/2016,08/05/2016,,
Neosho County Community College,25/08/2015,15/12/2015,20/01/2016,12/05/2016,,
New Brunswick Theological Seminary,22/08/2015,14/12/2015,18/01/2016,21/05/2016,,
New College Of California,31/08/2015,11/12/2015,19/01/2016,06/08/2016,,
New Mexico Junior College,14/08/2015,12/12/2015,17/01/2016,04/05/2016,,
New Mexico Military Institute,19/08/2015,13/12/2015,13/01/2015,15/05/2016,,
New Mexico State University-Alamogordo,21/08/2015,12/12/2015,11/01/2016,08/05/2016,,
